ID,Title,Author,Trick_Summary,Label
A-01,黄色い部屋の謎,G・ルルー,犯人が「捜査指揮官」という社会的権威を演じつつ、過去の犯行時には「被害者の衣服とカツラ」を着用し、目撃者の目前で被害者の生存を演じ分けた。追う者と追われる者の役職の重複による心理的盲点と、視覚的な先入観を利用した一人二役。,1
A-02,恐怖の谷,C・ドイル,死体の顔面を銃器で損傷させ、自分の指輪と衣服を転送。社会的・法的に「自分は死亡した被害者」という役割を確定させ、物理的には屋敷内の「隠し部屋（建築的死角）」に潜伏する。死者と生者の身分を分断した、物理的装置を伴う成りすまし。,1
A-03,そして誰もいなくなった,A・クリスティー,医師という専門家による「偽の死亡診断」を小道具とし、額に赤泥の銃創を偽装して「死体」を演じた。周囲が「死者は犯行不能」と信じ込む心理的盲点を利用し、生存した真犯人と死体という二つの物理的状態を時間差で使い分けた。,1
A-04,姿なき犯人,F・W・クロフツ,自分と体格が酷似した男を殺害し、その死体を「自分の遺体」として検視させる身代わり工作。あらかじめ用意した別名の戸籍と変装（眼鏡、髭、歩き方）により、過去の自分を消去し、別人としてのアリバイを永続的に構築した社会的身分の二役。,1
A-05,白衣の女,W・コリンズ,外見の類似性を利用し、精神病患者の女性と資産家の女性を物理的に入れ替える。一方が死亡した際にその事実を隠蔽、生存者の名前を死者のものと書き換えることで、社会的な身分を強奪。外見のコピーと書類上の偽装による一人二役。,1
A-06,パノラマ島奇談,江戸川乱歩,死んだ富豪と瓜二つの男が、墓から蘇った「奇跡」を演じる。髭の剃り跡や声色、指の癖、共有された過去の記憶を徹底的に再現。近親者さえも欺く「身体的特徴の完全コピー」と「死からの帰還」という物語性を利用したなりすまし。,1
A-07,双生児,江戸川乱歩,一人の男が容姿が同一の双子の兄弟を殺害。「生きている自分が死んだ」と見せかけるため、衣服と所持品を死体に転送。死体として発見される自分と、別人として活動する自分の二役を、鏡像のような血縁関係を利用して成立させた。,1
A-08,赤い館の秘密,A・A・ミルン,殺害現場で目撃された「被害者」の背中が、実は犯人の変装。本物の死体はあらかじめ別の場所に隠匿済み。目撃者が「被害者が生きている」と確信した瞬間に、犯人と被害者の役割を物理的に入れ替えていた視覚的ミスディレクション。,1
A-09,屍体は語る,R・A・フリーマン,被害者の靴を履き、泥土に意図的な歩幅の足跡を刻印。さらに被害者のコートを羽織って遠景から「生存中の被害者」として目撃させる。遺体となった事実と、目撃された虚構の生存を使い分けることで、死亡推定時刻を操作した一人二役。,1
A-10,アッシャー家の崩壊,E・A・ポー,仮死状態で棺に納められた妹が、血まみれの衣装で地下室から生還。家系的な恐怖心という心理的盲点を突き、「死んだはずの親族の亡霊」という役割を肉体を持って演じた。一人の人間による、死と生の境界を曖昧にする怪奇的演出。,1
A-11,トレント最後の事件,E・C・ベントリー,被害者が自殺直前に、格闘の物音を立て、二人の人間の会話を一人で自演。「襲撃される被害者」と「加害者」の音響的二役。自分を死の瞬間の目撃対象とすることで、特定の第三者に殺人の濡れ衣を着せる自作自演工作。,1
A-12,放たれた猛犬,R・スタウト,自分に脅迫状を送り、自分が狙われている「悲劇のターゲット」を熱演。警察に保護を求めることで、自分が加害者になり得ないという強力な心理的障壁を構築。真の標的を殺害する際、被害者という役割を盾にして疑いを回避した二役。,1
A-13,赤毛連盟,C・ドイル,かつら、眼鏡、特殊な顔料で変装し、架空の「赤毛連盟の事務員」を自演。店員という本来の役割と、事務員という虚構の役割を時間で分断。ターゲットを店から遠ざけ、その隙に地下道を掘る作業時間を確保するための戦略的ななりすまし。,1
